ano,ampla,cotan,cotarp,cotad,cotafp,cotai,cotadi,TOTAL DE INGRESSANTES POR COTA,TOTAL GERAL DE INGRESSANTES
2003,2.147,1.953,1.103,0,0,0,0,3.056,5.203
2004,2.989,879,1.215,0,0,0,34,2.128,5.117
2005,3.443,596,1.009,0,0,0,36,1.641,5.084
2006,3.530,547,1.009,0,0,0,35,1.591,5.121
2007,3.616,393,751,0,0,0,19,1.163,4.779
2008,3.757,423,678,0,0,0,29,1.130,4.887
2009,3.484,541,791,12,10,31,0,1.385,4.869
2010,3.292,623,853,17,8,29,0,1.530,4.822
2011,3.418,642,859,10,11,41,1,1.564,4.982
2012,3.684,587,770,19,3,43,4,1.426,5.110
2013,3.512,678,901,22,14,46,0,1.661,5.173
2014,3.634,735,858,17,15,53,0,1.678,5.312
2015,3.875,634,915,26,10,30,0,1.615,5.490
2016,3.828,679,815,36,10,20,0,1.560,5.388
2017,2.865,402,475,13,11,12,0,913,3.778
2018,3.161,343,420,10,7,8,0,788,3.949
2019,3.688,424,611,12,4,11,0,1.062,4.750
2020,3.498,563,860,18,6,5,0,1.452,4.950
2021,3.669,525,666,16,4,1,0,1.212,4.881
2022,3647,481,691,24,4,0,0,1.200,4.847
2023,3807,619,807,0,27,7,1,1.461,5.268
2024,3730,638,746,29,4,1,1,1.419,5.149
